,UF,CODIGO DO MUNICIPIO,NOME DO MUNICIPIO,ESPECTRO
499,BA,34916,CRISÓPOLIS,E
500,BA,37940,PIRAÍ DO NORTE,D
501,BA,36455,ITUAÇU,D
502,BA,35912,IRARÁ,D
503,BA,39373,TUCANO,E
504,BA,33391,ARACATU,D
505,BA,34630,CONCEIÇÃO DA FEIRA,E
506,BA,37222,MATINA,D
507,BA,37575,NOVA ITARANA,D
508,BA,35513,IBIPITANGA,E
509,BA,35939,IRECÊ,D
510,BA,36994,MACURURÉ,D
511,BA,37532,NILO PEÇANHA,D
512,BA,35394,IBIASSUCÊ,D
513,BA,38750,SANTO ESTEVÃO,D
514,BA,36030,ITAGI,E
515,BA,38199,QUINJINGUE,D
516,BA,30937,GAVIÃO,D
517,BA,33758,BOA VISTA DO TUPIM,D
518,BA,33235,ANAGÉ,D
519,BA,37621,NOVO TRIUNFO,D
520,BA,39675,WAGNER,D
521,BA,38598,SANTA INÊS,D
522,BA,36315,ITAPICURU,E
523,BA,35874,IRAMAIA,E
524,BA,38873,SÃO MIGUEL DAS MATAS,E
525,BA,38164,PRESIDENTE TANCREDO NEVES,D
526,BA,39969,NOVA IBIÁ,E
527,BA,34231,CANARANA,D
528,BA,33111,AIQUARA,D
529,BA,39713,XIQUE-XIQUE,E
530,BA,33278,ANGICAL,D
531,BA,36595,JANDAÍRA,D
532,BA,30813,CAPELA DO ALTO ALEGRE,D
533,BA,34096,CALDEIRÃO GRANDE,D
534,BA,38296,RIACHO DE SANTANA,D
535,BA,36358,ITAQUARA,D
536,BA,35351,GUARATINGA,E
537,BA,34339,CÂNDIDO SALES,D
538,BA,37672,OURIÇANGAS,E
539,BA,36730,JUSSIAPE,D
540,BA,36579,JAGUARIPE,D
541,BA,38458,RUY BARBOSA,D
542,BA,33405,APUAREMA,D
543,BA,39489,UMBURANAS,D
544,BA,33170,ALMADINA,D
545,BA,35653,IBOTIRAMA,E
546,BA,30058,EUNÁPOLIS,E
547,BA,39179,TABOCAS DO BREJO VELHO,D
548,BA,37613,NOVA VIÇOSA,D
549,BA,37370,MORTUGABA,D
550,BA,37915,PINDAÍ,D
551,BA,36498,JACARACI,E
552,BA,34614,COCOS,D
553,BA,34711,CONDE,D
554,BA,39250,TAPIRAMUTÁ,D
555,BA,30953,GUAJERU,E
556,BA,35599,IBIRATAIA,D
557,BA,30678,JABORANDI,D
558,BA,38954,SAÚDE,E
559,BA,33154,ALCOBAÇA,D
560,BA,36080,ITAGUAÇU DA BAHIA,D
561,BA,34274,CANDEAL,D
562,BA,38270,RIACHÃO DO JACUÍPE,D
563,BA,39624,VARZEDO,D
564,BA,37290,MIRANGABA,D
565,BA,39640,VEREDA,D
566,BA,38970,SEABRA,D
567,BA,37079,MALHADA DE PEDRAS,D
568,BA,39330,TERRA NOVA,D
569,BA,39098,SERRINHA,D
570,BA,36870,LENÇÓIS,D
571,BA,38822,SÃO FÉLIX DO CORIBE,E
572,BA,33570,BARRA DO CHOÇA,E
573,BA,35718,IGUAÍ,E
574,BA,37303,MIRANTE,D
575,BA,30856,CANUDOS,D
576,BA,38997,SEBASTIÃO LARANJEIRAS,D
577,BA,33855,BREJÕES,E
578,BA,37583,NOVA REDENÇÃO,D
579,BA,33553,BARRA DA ESTIVA,D
580,BA,35378,IAÇU,D
581,BA,36056,ITAGIBÁ,D
582,BA,34657,CONCEIÇÃO DO ALMEIDA,D
583,BA,38571,SANTA CRUZ DA VITÓRIA,D
584,BA,37451,MUNIZ FERREIRA,D
585,BA,35670,ICHU,D
586,BA,34010,CAEM,D
587,BA,37338,MORPARÁ,D
588,BA,39918,TANQUE NOVO,D
589,BA,37834,PEDRÃO,E
590,BA,36382,ITATIM,D
591,BA,33332,ANTÔNIO CARDOSO,D
592,BA,35858,IRAJUBA,D
593,BA,38806,SÃO DOMINGOS,D
594,BA,39497,UNA,D
595,BA,33057,ACAJUTIBA,E
596,BA,39942,NOVO HORIZONTE,D
597,BA,39926,SÃO JOSÉ DA VITÓRIA,D
598,BA,33898,BROTAS DE MACAÚBAS,D
599,BA,36650,JIQUIRIÇÁ,D
600,BA,39152,SOUTO SOARES,E
601,BA,39730,LAPÃO,D
602,BA,33251,ANDARAÍ,E
603,BA,37559,NOVA CANAÃ,D
604,BA,36978,MACAÚBAS,D
605,BA,37958,PIRIPÁ,D
606,BA,35700,IGRAPIÚNA,D
607,BA,36170,ITAMBÉ,D
608,BA,35459,IBICUÍ,D
609,BA,34398,CARDEAL DA SILVA,D
610,BA,36277,ITAPEBI,D
611,BA,33537,BARRA,D
612,BA,33294,ANGUERA,D
613,BA,36935,MACAJUBA,D
614,BA,33693,BELO CAMPO,D
615,BA,37710,PALMEIRAS,E
616,BA,37150,MARAÚ,D
617,BA,33715,BIRITINGA,D
618,BA,38342,RIBEIRÃO DO LARGO,D
619,CE,15415,SANTANA DO ACARAÚ,D
620,CE,13072,AIUABA,D
621,CE,13650,CARIÚS,D
622,CE,15890,CRUZ,D
623,CE,13897,FORTALEZA,E
624,CE,14990,PACUJÁ,D
625,CE,15695,TIANGUÁ,D
626,CE,15954,ITAREMA,D
627,CE,15610,SOLONÓPOLE,D
628,CE,15377,RUSSAS,E
629,CE,13064,GRAÇA,D
630,CE,15733,UBAJARA,D
631,CE,15350,RERIUTABA,D
632,CE,13030,ACARAÚ,E
633,CE,14273,ITAPAJÉ,D
634,CE,13056,ACOPIARA,E
635,CE,14770,MORAÚJO,D
636,CE,14478,JUAZEIRO DO NORTE,C
637,CE,15911,FORQUILHA,D
638,CE,13404,BARROQUINHA,E
639,CE,15679,TAUÁ,E
640,CE,14079,IBIAPINA,D
641,CE,15857,MARACANAÚ,D
642,CE,13331,AURORA,D
643,CE,15814,VÁRZEA ALEGRE,D
644,CE,13757,CEDRO,E
645,CE,13420,ARARENDÁ,E
646,CE,13692,CASCAVEL,D
647,CE,14494,JUCÁS,D
648,CE,15113,PEDRA BRANCA,D
649,CE,15970,MILHÃ,E
650,CE,14559,MARANGUAPE,D
651,CE,13730,CAUCAIA,E
652,CE,13552,CANINDÉ,D
653,CE,13382,BANABUIÚ,D
654,CE,14850,NOVA OLINDA,D
655,CE,15334,REDENÇÃO,E
656,CE,14710,MOMBAÇA,D
657,CE,14133,INDEPENDÊNCIA,D
658,CE,13170,APUIARÉS,E
659,CE,13595,CARIDADE,D
660,CE,13838,CRATEÚS,D
661,CE,13854,CRATO,E
662,CE,14796,MORRINHOS,D
663,CE,14257,ITAIÇABA,D
664,CE,13714,CATARINA,E
665,CE,13412,BATURITÉ,D
666,CE,15490,SÃO GONÇALO DO AMARANTE,D
667,CE,13358,BAIXIO,D
668,CE,14290,ITAPIPOCA,E
669,CE,14958,PACATUBA,E
670,CE,13218,ARACATI,C
671,CE,14419,JAGUARUANA,E
672,CE,13188,HORIZONTE,D
673,CE,13510,CAMOCIM,E
674,CE,13285,PINDORETAMA,D
675,CE,13439,BEBERIBE,D
676,CE,13579,CAPISTRANO,D
677,CE,14613,MASSAPÊ,D
678,CE,13234,ARACOIABA,D
679,CE,15571,SENADOR SÁ,E
680,CE,13374,BARBALHA,D
681,CE,15873,AMONTADA,E
682,CE,14931,PACAJUS,D
683,CE,14095,ICÓ,D
684,CE,98558,UMIRIM,D
685,CE,13811,COREAÚ,D
686,CE,14834,MULUNGU,D
687,CE,15539,SÃO LUÍS DO CURU,D
